"Class","Subclass","Variable"
"Fatty Acyls"," Fatty Acids and Conjugates","Straight chain fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Branched fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Unsaturated fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Hydroperoxy fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Hydroxy fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Oxo fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Epoxy fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Methoxy fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Halogenated fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Amino fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Cyano fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Nitro fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Thia fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Carbocyclic fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Heterocyclic fatty acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Mycolic acids"
"Fatty Acyls"," Fatty Acids and Conjugates","Dicarboxylic acids"
"Fatty Acyls"," Octadecanoids","12-oxophytodienoic acid metabolites"
"Fatty Acyls"," Octadecanoids","Jasmonic acids"
"Fatty Acyls"," Octadecanoids","Phytoprostanes"
"Fatty Acyls"," Octadecanoids","Phytofurans"
"Fatty Acyls"," Octadecanoids","Octadeca-1,2-dioxolanes"
"Fatty Acyls"," Octadecanoids","Other Octadecanoids"
"Fatty Acyls"," Eicosanoids","Prostaglandins"
"Fatty Acyls"," Eicosanoids","Leukotrienes"
"Fatty Acyls"," Eicosanoids","Thromboxanes"
"Fatty Acyls"," Eicosanoids","Lipoxins"
"Fatty Acyls"," Eicosanoids","Hydroxy/hydroperoxyeicosatrienoic acids"
"Fatty Acyls"," Eicosanoids","Hydroxy/hydroperoxyeicosatetraenoic acids"
"Fatty Acyls"," Eicosanoids","Hydroxy/hydroperoxyeicosapentaenoic acids"
"Fatty Acyls"," Eicosanoids","Epoxyeicosatrienoic acids"
"Fatty Acyls"," Eicosanoids","Hepoxilins"
"Fatty Acyls"," Eicosanoids","Levuglandins"
"Fatty Acyls"," Eicosanoids","Isoprostanes"
"Fatty Acyls"," Eicosanoids","Isofurans"
"Fatty Acyls"," Eicosanoids","Eicosa-1,2-dioxolanes"
"Fatty Acyls"," Eicosanoids","Resolvin Es"
"Fatty Acyls"," Eicosanoids","Clavulones"
"Fatty Acyls"," Eicosanoids","Other Eicosanoids"
"Fatty Acyls"," Docosanoids","Neuroprostanes"
"Fatty Acyls"," Docosanoids","Neurofurans"
"Fatty Acyls"," Docosanoids","Docosa-1,2-dioxolanes"
"Fatty Acyls"," Docosanoids","Resolvin Ds"
"Fatty Acyls"," Docosanoids","Protectins"
"Fatty Acyls"," Docosanoids","Maresins"
"Fatty Acyls"," Docosanoids","Other Docosanoids"
"Fatty Acyls"," Fatty esters","Wax monoesters"
"Fatty Acyls"," Fatty esters","Wax diesters"
"Fatty Acyls"," Fatty esters","Cyano esters"
"Fatty Acyls"," Fatty esters","Lactones"
"Fatty Acyls"," Fatty esters","Fatty acyl CoAs"
"Fatty Acyls"," Fatty esters","Fatty acyl ACPs"
"Fatty Acyls"," Fatty esters","Fatty acyl carnitines"
"Fatty Acyls"," Fatty esters","Fatty acyl adenylates"
"Fatty Acyls"," Fatty esters","Fatty acid estolides"
"Fatty Acyls"," Fatty amides","Primary amides"
"Fatty Acyls"," Fatty amides","N-acyl amines"
"Fatty Acyls"," Fatty amides","Fatty acyl homoserine lactones"
"Fatty Acyls"," Fatty amides","N-acyl ethanolamines (endocannabinoids)"
"Fatty Acyls"," Fatty acyl glycosides","Fatty acyl glycosides of mono- and disaccharides"
"Fatty Acyls"," Fatty acyl glycosides","Sophorolipids"
"Fatty Acyls"," Fatty acyl glycosides","Rhamnolipids"
"Fatty Acyls"," Fatty acyl glycosides","Ascarosides"
"Fatty Acyls"," Fatty acyl glycosides","Other Fatty acyl glycosides"
"Glycerolipids"," Monoradylglycerols","Monoacylglycerols"
"Glycerolipids"," Monoradylglycerols","Monoalkylglycerols"
"Glycerolipids"," Monoradylglycerols","Mono-(1Z-alkenyl)-glycerols"
"Glycerolipids"," Diradylglycerols","Diacylglycerols"
"Glycerolipids"," Diradylglycerols","1-alkyl,2-acylglycerols"
"Glycerolipids"," Diradylglycerols","1-acyl,2-alkylglycerols"
"Glycerolipids"," Diradylglycerols","Dialkylglycerols"
"Glycerolipids"," Diradylglycerols","1Z-alkenylacylglycerols"
"Glycerolipids"," Diradylglycerols","Di-glycerol tetraethers"
"Glycerolipids"," Diradylglycerols","Di-glycerol tetraether glycans"
"Glycerolipids"," Triradylglycerols","Triacylglycerols"
"Glycerolipids"," Triradylglycerols","Alkyldiacylglycerols"
"Glycerolipids"," Triradylglycerols","Dialkylmonoacylglycerols"
"Glycerolipids"," Triradylglycerols","1Z-alkenyldiacylglycerols"
"Glycerolipids"," Triradylglycerols","Triacylglycerol estolides"
"Glycerolipids"," Glycosylmonoradylglycerols","Glycosylmonoacylglycerols"
"Glycerolipids"," Glycosylmonoradylglycerols","Glycosylmonoalkylglycerols"
"Glycerolipids"," Glycosyldiradylglycerols","Glycosyldiacylglycerols"
