"Category","Mainclass","Subclass","Abbreviation"
"Fatty acyls [FA]","Fatty acids and Conjugates [FA01]","Free fatty acid","FA"
"Fatty acyls [FA]","Fatty amides [FA08]","N-acyl glycine","NAGly"
"Fatty acyls [FA]","Fatty amides [FA08]","N-acyl glycyl serine","NAGlySer"
"Fatty acyls [FA]","Fatty amides [FA08]","N-acyl ornithine","NAOrn"
"Fatty acyls [FA]","Fatty amides [FA08]","N-acyl ethanolamines","NAE"
"Fatty acyls [FA]","Fatty esters [FA07]","Acylcarnitine","CAR"
"Fatty acyls [FA]","Fatty esters [FA07]","Fatty acid ester of hydroxyl fatty acid","FAHFA"
"Glycerolipids [GL]","Diradylglycerols [GL02]","Diacylglycerol","DG"
"Glycerolipids [GL]","Diradylglycerols [GL02]","Ether-linked diacylglycerol","EtherDG"
"Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Digalactosyldiacylglycerol","DGDG"
"Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Ether-linked digalactosyldiacylglycerol","EtherDGDG"
"Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Ether-linked monogalactosyldiacylglycerol","EtherMGDG"
"Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Monogalactosyldiacylglycerol","MGDG"
"Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Sulfoquinovosyl diacylglycerol","SQDG"
"Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Semino lipid","EtherSMGDG"
"Glycerolipids [GL]","Monoradylglycerols [GL01]","Monoacylglycerol","MG"
"Glycerolipids [GL]","Other Glycerolipids [GL00]","Acyl diacylglyceryl glucuronide","ADGGA"
"Glycerolipids [GL]","Other Glycerolipids [GL00]","Diacylglyceryl-3-O-carboxyhydroxymethylcholine","DGCC"
"Glycerolipids [GL]","Other Glycerolipids [GL00]","Diacylglyceryl glucuronide","DGGA"
"Glycerolipids [GL]","Other Glycerolipids [GL00]","Diacylglyceryl trimethylhomoserine/diacylglyceryl hydroxymethyl-N,N,N-trimethyl-β-alanine","DGTS/A"
"Glycerolipids [GL]","Other Glycerolipids [GL00]","Lysodiacylglyceryl-3-O-carboxyhydroxymethylcholine","LDGCC"
"Glycerolipids [GL]","Other Glycerolipids [GL00]","Lysodiacylglyceryl trimethylhomoserine/Lysodiacylglyceryl hydroxymethyl-N,N,N-trimethyl-β-alanine","LDGTS/A"
"Glycerolipids [GL]","Triradylglycerols [GL03]","Ether-linked triacylglycerol","EtherTG"
"Glycerolipids [GL]","Triradylglycerols [GL03]","Triacylglycerol","TG"
"Glycerophospholipids [GP]","Glycerophosphates [GP10]","Lysophosphatidic acid","LPA"
"Glycerophospholipids [GP]","Glycerophosphates [GP10]","Phosphatidic acid","PA"
